station_id,name,so_h,cglo,tb10,rrm,rf,ffx,ff,tb20,tl,rr
2401,Laa an der Thaya Kläranlage,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2415,Leiser Berge,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2430,Mistelbach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2500,Poysdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2502,Poysdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2503,Poysdorf Ost,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2510,Wilfersdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2600,Hohenau an der March,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2601,Hohenau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2602,Hohenau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2900,Reichersberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2902,Reichersberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2910,Schärding,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3111,Waizenkirchen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3120,Aschach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3202,Linz Stadt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3210,Reichenau (Oberösterreich),❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3257,Linz Weingarsthof,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3266,Linz Petrinum,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3315,Reichenau im Mühlkreis,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3400,Allerheiligen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3410,Pabneukirchen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3425,Bad Zell,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3500,Königswiesen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3520,Bärnkopf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3600,Gutenbrunn Martinsberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3605,Martinsberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3700,Jauerling,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3702,Jauerling Gipfel,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3703,Jauerling/Oberndorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3710,Joching,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3720,Unterloiben,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3800,Krems/Landersdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3801,Krems,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3805,Krems,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3807,Krems,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
